species	MMR	Qdot
Dromaius_novaehollandiae	2.892	0.0024803779844922400
Anas_sp	3.81	0.0003837998262485360
Eudyptula_minor	3.50585122621349	0.0002426793413546960
Pelecanus_conspicillatus	2.975	0.0048546309559125800
Phalacrocorax_sp	1.56363166063114	0.0010303771972658800
Haliaeetus_leucogaster	0.753777777777778	0.0022106243985970400
Corvus_sp	13.9925416666667	0.0003544210693340440
Hirundo_sp	11.430890052356	0.0000047556876441075
Coturnix_sp	10.73	0.0001291329160071350
Calidris_sp	12.1771217712177	0.0000139557348642950
Sterna_sp	3.68657608695652	0.0000266502816245079
Sturnus_vulgaris	5.92105263157895	0.0000583227916549878
Larus_sp	1.98083333333333	0.0001637560397672130
Plegadis_falcinellus	1.66030769230769	0.0005519098814194590
Falco_sp	12.5898122065728	0.0005656367255290050
Gallus_domesticus	5.7	0.00567
Turdus_sp	12.9861111111111	0.0001592102504004860
Enantiornithes_IVPP_V_17968	NA	0.0009030964642858970
